year,filing_status,lower,upper,rate
2023,married_filing_jointly,0,89250,0
2023,married_filing_jointly,89250,553850,0.15
2023,married_filing_jointly,553850,100000000,0.20
2023,single,0,44625,0
2023,single,44625,492300,0.15
2023,single,492300,100000000,0.20
2024,married_filing_jointly,0,94050,0
2024,married_filing_jointly,94050,583750,0.15
2024,married_filing_jointly,583750,100000000,0.20
2024,single,0,47025,0
2024,single,47025,518900,0.15
2024,single,518900,100000000,0.20
2025,married_filing_jointly,0,96700,0
2025,married_filing_jointly,96700,600049,0.15
2025,married_filing_jointly,600049,100000000,0.20
2025,single,0,48350,0
2025,single,48350,533400,0.15
2025,single,533400,100000000,0.20
2026,married_filing_jointly,0,98900,0
2026,married_filing_jointly,98900,613700,0.15
2026,married_filing_jointly,613700,100000000,0.20
2026,single,0,49450,0
2026,single,49450,545850,0.15
2026,single,545850,100000000,0.20
2027,married_filing_jointly,0,101000,0
2027,married_filing_jointly,101000,653700,0.15
2027,married_filing_jointly,653700,100000000,0.20
2027,single,0,50500,0
2027,single,50500,581350,0.15
2027,single,581350,100000000,0.20
2028,married_filing_jointly,0,103500,0
2028,married_filing_jointly,103500,670050,0.15
2028,married_filing_jointly,670050,100000000,0.20
2028,single,0,51750,0
2028,single,51750,595850,0.15
2028,single,595850,100000000,0.20
2029,married_filing_jointly,0,106100,0
2029,married_filing_jointly,106100,686800,0.15
2029,married_filing_jointly,686800,100000000,0.20
2029,single,0,53050,0
2029,single,53050,610700,0.15
2029,single,610700,100000000,0.20
2030,married_filing_jointly,0,108750,0
2030,married_filing_jointly,108750,703950,0.15
2030,married_filing_jointly,703950,100000000,0.20
2030,single,0,54375,0
2030,single,54375,625950,0.15
2030,single,625950,100000000,0.20
2031,married_filing_jointly,0,111450,0
2031,married_filing_jointly,111450,721550,0.15
2031,married_filing_jointly,721550,100000000,0.20
2031,single,0,55725,0
2031,single,55725,641650,0.15
2031,single,641650,100000000,0.20
2032,married_filing_jointly,0,114250,0
2032,married_filing_jointly,114250,739600,0.15
2032,married_filing_jointly,739600,100000000,0.20
2032,single,0,57125,0
2032,single,57125,657800,0.15
2032,single,657800,100000000,0.20
2033,married_filing_jointly,0,117100,0
2033,married_filing_jointly,117100,758100,0.15
2033,married_filing_jointly,758100,100000000,0.20
2033,single,0,58550,0
2033,single,58550,674350,0.15
2033,single,674350,100000000,0.20
2034,married_filing_jointly,0,120050,0
2034,married_filing_jointly,120050,777050,0.15
2034,married_filing_jointly,777050,100000000,0.20
2034,single,0,60025,0
2034,single,60025,691250,0.15
2034,single,691250,100000000,0.20
2035,married_filing_jointly,0,123050,0
