symbol,name,sector,current_price,target_weight,target_amount,shares_to_buy,actual_amount,fractional_shares,order_type
APP,AppLovin Corporation,Communication Services,527.06,0.6451612903225806,3225.8064516129034,6,3225.8064516129034,0.12037804351099268,MARKET
DIS,The Walt Disney Company,Communication Services,99.5,0.6451612903225806,3225.8064516129034,32,3225.806451612903,0.4201653428432479,MARKET
GOOG,Alphabet Inc.,Communication Services,356.18,0.6451612903225806,3225.8064516129034,9,3225.8064516129034,0.05667485993852317,MARKET
GOOGL,Alphabet Inc.,Communication Services,359.91,0.6451612903225806,3225.8064516129034,8,3225.806451612904,0.9628141802475714,MARKET
META,"Meta Platforms, Inc.",Communication Services,582.9,0.6451612903225806,3225.8064516129034,5,3225.8064516129034,0.534064936717968,MARKET
NFLX,"Netflix, Inc.",Communication Services,77.65,0.6451612903225806,3225.8064516129034,41,3225.8064516129034,0.5429034335209693,MARKET
TMUS,"T-Mobile US, Inc.",Communication Services,177.52,0.6451612903225806,3225.8064516129034,18,3225.8064516129034,0.17150997979328153,MARKET
VZ,Verizon Communications Inc.,Communication Services,42.56,0.6451612903225806,3225.8064516129034,75,3225.8064516129034,0.7943245209798704,MARKET
ABNB,"Airbnb, Inc.",Consumer Discretionary,148.93,0.6451612903225806,3225.8064516129034,21,3225.806451612904,0.6598835131464682,MARKET
BKNG,Booking Holdings Inc.,Consumer Discretionary,184.56,0.6451612903225806,3225.8064516129034,17,3225.806451612904,0.47836178810632646,MARKET
CVNA,Carvana Co.,Consumer Discretionary,68.6,0.6451612903225806,3225.8064516129034,47,3225.8064516129034,0.02341766199567985,MARKET
DASH,"DoorDash, Inc.",Consumer Discretionary,192.01,0.6451612903225806,3225.8064516129034,16,3225.8064516129034,0.8002002583870826,MARKET
GM,General Motors Company,Consumer Discretionary,76.0,0.6451612903225806,3225.8064516129034,42,3225.8064516129034,0.44482173174873196,MARKET
HD,"The Home Depot, Inc.",Consumer Discretionary,357.9,0.6451612903225806,3225.8064516129034,9,3225.806451612904,0.013150186121553276,MARKET
HLT,Hilton Worldwide Holdings Inc.,Consumer Discretionary,338.12,0.6451612903225806,3225.8064516129034,9,3225.8064516129034,0.540418938876444,MARKET
LOW,"Lowe's Companies, Inc.",Consumer Discretionary,227.5,0.6451612903225806,3225.8064516129034,14,3225.8064516129034,0.1793690180786971,MARKET
MAR,"Marriott International, Inc.",Consumer Discretionary,372.95,0.6451612903225806,3225.8064516129034,8,3225.8064516129034,0.6494341107733028,MARKET
