Action,Symbol,Quantity,OrderType,TimeInForce
BUY,APP,11,MARKET,DAY
BUY,GOOG,16,MARKET,DAY
BUY,META,10,MARKET,DAY
BUY,NFLX,76,MARKET,DAY
BUY,TMUS,33,MARKET,DAY
BUY,VZ,138,MARKET,DAY
BUY,ABNB,39,MARKET,DAY
BUY,BKNG,31,MARKET,DAY
BUY,CVNA,86,MARKET,DAY
BUY,DASH,30,MARKET,DAY
BUY,HD,16,MARKET,DAY
BUY,HLT,17,MARKET,DAY
BUY,LOW,25,MARKET,DAY
BUY,MAR,15,MARKET,DAY
BUY,MCD,21,MARKET,DAY
BUY,ORLY,65,MARKET,DAY
BUY,RCL,19,MARKET,DAY
BUY,SBUX,56,MARKET,DAY
BUY,TJX,38,MARKET,DAY
BUY,TSLA,15,MARKET,DAY
BUY,COST,6,MARKET,DAY
BUY,KO,70,MARKET,DAY
BUY,MDLZ,96,MARKET,DAY
BUY,MNST,60,MARKET,DAY
BUY,PEP,40,MARKET,DAY
BUY,PG,39,MARKET,DAY
BUY,PM,32,MARKET,DAY
BUY,WMT,52,MARKET,DAY
BUY,CVX,34,MARKET,DAY
BUY,MPC,22,MARKET,DAY
BUY,VLO,22,MARKET,DAY
BUY,WMB,80,MARKET,DAY
BUY,XOM,43,MARKET,DAY
BUY,AXP,16,MARKET,DAY
BUY,BAC,100,MARKET,DAY
BUY,BLK,5,MARKET,DAY
BUY,BX,48,MARKET,DAY
BUY,C,42,MARKET,DAY
BUY,CB,16,MARKET,DAY
BUY,COF,28,MARKET,DAY
BUY,GS,5,MARKET,DAY
BUY,HOOD,52,MARKET,DAY
BUY,IBKR,64,MARKET,DAY
BUY,JPM,17,MARKET,DAY
BUY,MA,10,MARKET,DAY
BUY,MS,27,MARKET,DAY
BUY,PGR,25,MARKET,DAY
BUY,SCHW,60,MARKET,DAY
BUY,SPGI,13,MARKET,DAY
BUY,V,16,MARKET,DAY
BUY,WFC,69,MARKET,DAY
BUY,ABBV,22,MARKET,DAY
BUY,ABT,61,MARKET,DAY
BUY,AMGN,15,MARKET,DAY
BUY,BMY,101,MARKET,DAY
BUY,CVS,56,MARKET,DAY
BUY,DHR,29,MARKET,DAY
BUY,GILD,44,MARKET,DAY
BUY,ISRG,13,MARKET,DAY
BUY,LLY,4,MARKET,DAY
BUY,MRK,45,MARKET,DAY
BUY,PFE,242,MARKET,DAY
BUY,SYK,18,MARKET,DAY
BUY,TMO,11,MARKET,DAY
BUY,UNH,13,MARKET,DAY
BUY,VRTX,11,MARKET,DAY
BUY,BA,26,MARKET,DAY
BUY,CAT,6,MARKET,DAY
BUY,CMI,8,MARKET,DAY
BUY,CSX,120,MARKET,DAY
BUY,DE,9,MARKET,DAY
BUY,ETN,14,MARKET,DAY
BUY,GD,15,MARKET,DAY
BUY,GE,15,MARKET,DAY
BUY,GEV,5,MARKET,DAY
BUY,HWM,21,MARKET,DAY
BUY,LMT,10,MARKET,DAY
BUY,PH,6,MARKET,DAY
BUY,PWR,8,MARKET,DAY
BUY,RTX,29,MARKET,DAY
BUY,TT,12,MARKET,DAY
BUY,UNP,20,MARKET,DAY
BUY,UPS,53,MARKET,DAY
BUY,VRT,19,MARKET,DAY
BUY,WM,25,MARKET,DAY
BUY,AAPL,19,MARKET,DAY
BUY,AMAT,9,MARKET,DAY
BUY,AMD,11,MARKET,DAY
BUY,ANET,36,MARKET,DAY
BUY,APH,35,MARKET,DAY
BUY,AVGO,16,MARKET,DAY
BUY,CRWD,30,MARKET,DAY
BUY,CSCO,52,MARKET,DAY
BUY,DELL,14,MARKET,DAY
BUY,INTC,49,MARKET,DAY
BUY,KLAC,25,MARKET,DAY
BUY,LRCX,16,MARKET,DAY
BUY,MRVL,24,MARKET,DAY
BUY,MU,6,MARKET,DAY
BUY,NVDA,30,MARKET,DAY
BUY,ORCL,42,MARKET,DAY
BUY,PANW,16,MARKET,DAY
BUY,PLTR,45,MARKET,DAY
BUY,SNDK,3,MARKET,DAY
BUY,TXN,20,MARKET,DAY
BUY,WDC,10,MARKET,DAY
BUY,ECL,20,MARKET,DAY
BUY,FCX,96,MARKET,DAY
BUY,LIN,10,MARKET,DAY
BUY,NEM,60,MARKET,DAY
BUY,SHW,16,MARKET,DAY
BUY,AMT,35,MARKET,DAY
BUY,DLR,34,MARKET,DAY
BUY,EQIX,5,MARKET,DAY
BUY,O,92,MARKET,DAY
BUY,PLD,42,MARKET,DAY
BUY,PSA,17,MARKET,DAY
BUY,SPG,26,MARKET,DAY
BUY,WELL,25,MARKET,DAY
BUY,AEP,42,MARKET,DAY
BUY,CEG,24,MARKET,DAY
BUY,D,84,MARKET,DAY
BUY,DUK,45,MARKET,DAY
BUY,ETR,51,MARKET,DAY
BUY,NEE,66,MARKET,DAY
BUY,SO,60,MARKET,DAY
BUY,SRE,63,MARKET,DAY
