Year,Age,Stage,Wages,SS Benefits,Traditional Withdrawal,Roth Conversion,Expenses,IRMAA Penalty,Federal Tax,Cash Balance,RMD,Taxable Withdrawal,Roth Withdrawal,LTCG Harvested,DAF Contribution,ACA Premium,Taxable Balance,Traditional Balance,Roth Balance,DAF Balance,Total Portfolio
2026,60/59,Stage 1: Accumulation,0,0,0.0,371350.0,120000.0,0.0,66592.0,240000.0,0.0,0.0,0.0,0.0,0,0,382523.501663208,4233560.446929932,932187.0015144348,0,5788270.950107574
2027,61/60,Stage 2: Early Retirement,0,0,0.0,345200.0,122364.0,0.0,75877.0,244728.0,0.0,4728.0,0.0,67500.0,0,0,400463.2317630005,4121662.0737457275,1354030.221605301,0,6120883.527114029
2028,62/61,Stage 2: Early Retirement,0,0,0.0,333550.0,124774.5708,0.0,74008.0,249549.1416,0.0,4821.141600000003,0.0,70000.0,0,0,419380.61557278055,4015398.7981704716,1788835.034901619,0,6473163.590244871
2029,63/62,Stage 2: Early Retirement,0,0,0.0,340100.0,127232.62984476,0.0,75877.0,254465.25968952,0.0,4916.118089519994,0.0,72600.0,0,0,439332.3673322562,3895816.7260607,2256671.136995716,0,6846285.490078192
2030,64/63,Stage 2: Early Retirement,0,0,0.0,337450.0,129739.11265270178,0.0,75877.0,259478.22530540355,0.0,5012.965615883557,0.0,75250.0,0,0,460378.5658193551,3771868.729624342,2749768.405215459,0,7241493.925964559
2031,65/64,Stage 3: Medicare,0,0,0.0,325600.0,132294.97317196,6896.16,74008.0,264589.94634392,0.0,5111.721038516465,0.0,77950.0,0,0,482582.85546768893,3653044.853401803,3259890.509528387,0,7660108.164741799
2032,66/65,Stage 3: Medicare,0,0,0.0,331950.0,134901.1841434476,13792.32,75877.0,269802.3682868952,0.0,5212.421942975197,0.0,80750.0,0,0,506012.65953619656,3520360.5446059112,3807350.94010009,0,8103526.512529094
2033,67/66,Stage 4: Social Security,0,50676,0.0,319950.0,137558.73747107352,13792.32,74008.0,275117.47494214703,0.0,5315.106655251817,0.0,40525.399999999994,0,0,530739.4060538014,3392435.1772822663,4374938.996506096,0,8573231.054784311
2034,68/67,Stage 4: Social Security,0,104256,0.0,324082.4,140268.64459925366,13792.32,75877.0,280537.2891985073,0.0,5419.814256360289,0.0,0.0,0,0,556838.7673052876,3252453.943919203,4980962.680296462,0,9070792.68071946
2035,69/68,Stage 4: Social Security,0,111432,0.0,308832.8,143031.93689785898,10609.92,74008.0,286063.87379571795,0.0,5526.584597210633,0.0,0.0,0,0,584390.9136705616,3120238.4125543553,5607183.20911425,0,9597876.409134885
