Year,Age,Stage,Wages,SS Benefits,Traditional Withdrawal,Roth Conversion,Expenses,IRMAA Penalty,Federal Tax,Cash Balance,RMD,Taxable Withdrawal,Roth Withdrawal,LTCG Harvested,DAF Contribution,ACA Premium,Taxable Balance,Traditional Balance,Roth Balance,DAF Balance,Total Portfolio
2026,60/59,Stage 2: Early Retirement,0,0,0.0,339850.4806756142,120000.0,0.0,74320.0,240000.0,0.0,40000.0,0.0,66700.0,0,0,409300.1467796326,4566824.678215027,960525.0916204453,0,6176649.916615104
2027,61/60,Stage 2: Early Retirement,0,0,0.0,348200.4806756142,122364.0,0.0,75877.0,244728.0,0.0,4728.0,0.0,67500.0,0,0,432892.1970542069,4517138.405690079,1397125.8480338764,0,6591884.450778161
2028,62/61,Stage 2: Early Retirement,0,0,0.0,336550.4806756142,124774.5708,0.0,74008.0,249549.1416,0.0,4821.141600000003,0.0,70000.0,0,0,458036.0293360014,4476439.594088384,1851823.1573962478,0,7035847.922420633
2029,63/62,Stage 2: Early Retirement,0,0,0.0,343100.4806756142,127232.62984476,0.0,75877.0,254465.25968952,0.0,4916.118089519994,0.0,72600.0,0,0,484838.30503373506,4425883.365674571,2345357.778413985,0,7510544.708811811
2030,64/63,Stage 2: Early Retirement,0,0,0.0,340450.4806756142,129739.11265270178,0.0,75877.0,259478.22530540355,0.0,5012.965615883557,0.0,75250.0,0,0,513413.1131771012,4374623.701271791,2870604.322902964,0,8018119.36265726
2031,65/64,Stage 3: Medicare,0,0,0.0,328600.4806756142,132294.97317196,6896.16,74008.0,264589.94634392,0.0,5111.721038516465,0.0,77950.0,0,0,543882.4895882857,4332455.360360817,3419938.6255061715,0,8560866.421799194
2032,66/65,Stage 3: Medicare,0,0,0.0,334950.4806756142,134901.1841434476,13792.32,75877.0,269802.3682868952,0.0,5212.421942975197,0.0,80750.0,0,0,576376.9723804822,4280540.735586074,4014520.8292916035,0,9141240.905545056
2033,67/66,Stage 3: Medicare,0,0,0.0,322950.4806756142,137558.73747107352,13792.32,74008.0,275117.47494214703,0.0,5315.106655251817,0.0,83600.0,0,0,611036.1963259965,4237832.0870771,4637883.787342016,0,9761869.545687258
2034,68/67,Stage 3: Medicare,0,0,0.0,329150.4806756142,140268.64459925366,13792.32,75877.0,280537.2891985073,0.0,5419.814256360289,0.0,86550.0,0,0,648009.5288145108,4185499.833172497,5311516.152455957,0,10425562.803641472
2035,69/68,Stage 3: Medicare,0,0,0.0,317000.4806756142,143031.93689785898,10609.92,74008.0,286063.87379571795,0.0,5526.584597210633,0.0,89550.0,0,0,687456.7503125112,4142504.821494572,6019302.283127874,0,11135327.728730675
2036,70/69,Stage 4: Social Security,0,62580,0.0,323050.4806756142,145849.6660547468,10609.92,75877.0,291699.3321094936,0.0,5635.458313775656,0.0,39457.0,0,0,729548.7824386471,4090026.658999192,6783106.942946826,0,11894381.716494158
2037,71/70,Stage 4: Social Security,0,126420,0.0,299093.4806756142,148722.90447602532,10609.92,74008.0,297445.80895205063,0.0,5746.476842557022,0.0,0.0,0,0,774468.4669878165,4059509.015129136,7574743.938953104,0,12706167.230022106
2038,72/71,Stage 4: Social Security,0,128940,0.0,296951.4806756142,151652.745694203,10609.92,74008.0,303305.491388406,0.0,5859.68243635539,0.0,0.0,0,0,822411.3994700634,4029147.0761881755,8419503.584679822,0,13574367.551726466
2039,73/72,Stage 5: RMD,0,131508,152043.28589389342,57687.45705305328,154640.3047843788,10609.92,53992.0,309280.6095687576,152043.28589389342,5975.118180351565,0.0,0.0,0,0,1036273.1368864577,4086775.4765681154,9070594.414654177,0,14502923.637677507
2040,74/73,Stage 5: RMD,0,134148,160265.7049634555,47879.247518272256,157686.71878863106,10609.92,54477.0,315373.4375772621,160265.7049634555,6092.828008504526,0.0,0.0,0,0,1273777.2348103072,4150134.6607724354,9756766.818524523,0,15496052.151684526
2041,75/74,Stage 5: RMD,0,136860,168704.66100700956,42507.16949649522,160793.14714876708,7427.52,55766.0,321586.29429753416,168704.66100700956,6212.856720272044,0.0,0.0,0,0,1536807.8718338378,4214647.428387756,10485223.16718249,0,16558264.76170162
2042,76/75,Stage 5: RMD,0,139584,177833.22482648763,41360.18758675619,163960.77214759777,7427.52,57911.0,327921.54429519555,177833.22482648763,6335.249997661391,0.0,0.0,0,0,1827887.2559290507,4275135.797092728,11263444.189603094,0,17694388.78692007
2043,77/76,Stage 5: RMD,0,142344,186687.15271147285,31185.223644263577,167190.79935890547,7427.52,58484.0,334381.59871781094,186687.15271147285,6460.054422615387,0.0,0.0,0,0,2148682.359013162,4341271.860188581,12085253.472174674,0,18909589.290094227
2044,78/77,Stage 5: RMD,0,145200,197330.53909948096,29224.73045025952,170484.4581062759,7427.52,60823.0,340968.9162125518,197330.53909948096,6587.317494740884,0.0,0.0,0,0,2503185.3712611557,4402746.75198356,12962491.67680868,0,20209392.716265947
2045,79/78,Stage 5: RMD,0,148104,208660.98350632982,17750.308246835077,173843.00193096953,4956.0,61708.0,347686.00386193907,208660.98350632982,6717.087649387249,0.0,0.0,0,0,2894488.315816365,4468678.942446522,13888858.924009401,0,21599712.186134227
2046,80/79,Stage 5: RMD,0,151068,221221.72982408528,14785.23508795735,177267.70906900964,7427.52,64289.0,354535.4181380193,221221.72982408528,6849.414276080206,0.0,0.0,0,0,3326480.875559876,4528959.015961893,14876899.250234175,0,23086874.559893966
2047,81/80,Stage 5: RMD,0,154092,233451.4956681388,0.0,180759.88293766914,4956.0,64619.0,361519.7658753383,233451.4956681388,6984.347737319011,0.0,0.0,0,0,3801654.3851350453,4596193.046714318,15918282.197750568,0,24677649.39547527
2048,82/81,Stage 5: RMD,0,157164,248442.86738996312,0.0,184320.85263154123,4956.0,68844.0,368641.70526308246,248442.86738996312,7121.939387744176,0.0,0.0,0,0,4325983.585056873,4652092.69187706,17032561.95159311,0,26379279.933790125
2049,83/82,Stage 5: RMD,0,160308,262830.0955862746,0.0,187951.9734283826,4956.0,72611.0,375903.9468567652,262830.0955862746,7262.241593682731,0.0,0.0,0,0,4902260.039782927,4696510.97803114,18224841.28820463,0,28199516.252875462
2050,84/83,Stage 5: RMD,0,160380,279554.22488280595,0.0,191654.62730492174,4956.0,76967.0,383309.2546098435,279554.22488280595,7405.30775307829,0.0,0.0,0,0,5536617.583896541,4726143.725868718,19500580.178378955,0,30146650.742754057
