Year,Age,Stage,Wages,SS Benefits,Traditional Withdrawal,Roth Conversion,Expenses,IRMAA Penalty,Federal Tax,Cash Balance,RMD,Taxable Withdrawal,Roth Withdrawal,LTCG Harvested,DAF Contribution,ACA Premium,Taxable Balance,Traditional Balance,Roth Balance,DAF Balance,Total Portfolio
2026,60/59,Stage 2: Early Retirement,0,0,0.0,345043.81009772886,120000.0,0.0,74320.0,240000.0,0.0,40000.0,0.0,66700.0,0,0,413125.3817962647,4609505.282684326,969501.9616355897,0,6232132.626116181
2027,61/60,Stage 2: Early Retirement,0,0,0.0,353393.81009772886,122364.0,0.0,75877.0,244728.0,0.0,4728.0,0.0,67500.0,0,0,441069.1723399659,4605449.705299073,1419878.118566437,0,6711124.996205475
2028,62/61,Stage 2: Early Retirement,0,0,0.0,341743.81009772886,124774.5708,0.0,74008.0,249549.1416,0.0,4821.141600000003,0.0,70000.0,0,0,471147.8731991631,4613651.681722999,1893702.368051752,0,7228051.064573914
2029,63/62,Stage 2: Early Retirement,0,0,0.0,348293.81009772886,127232.62984476,0.0,75877.0,254465.25968952,0.0,4916.118089519994,0.0,72600.0,0,0,503530.2955184146,4615435.816260839,2412506.5574958925,0,7785937.928964665
2030,64/63,Stage 2: Early Retirement,0,0,0.0,345643.81009772886,129739.11265270178,0.0,75877.0,259478.22530540355,0.0,5012.965615883557,0.0,75250.0,0,0,538398.7162947335,4620224.681561707,2969953.082095564,0,8388054.705257408
2031,65/64,Stage 3: Medicare,0,0,0.0,333793.81009772886,132294.97317196,6896.16,74008.0,264589.94634392,0.0,5111.721038516465,0.0,77950.0,0,0,575949.9548767144,4638194.656086643,3559197.3286632095,0,9037931.885970488
2032,66/65,Stage 3: Medicare,0,0,0.0,340143.81009772886,134901.1841434476,13792.32,75877.0,269802.3682868952,0.0,5212.421942975197,0.0,80750.0,0,0,616396.5355684385,4650744.228573575,4202439.114956266,0,9739382.247385174
2033,67/66,Stage 4: Social Security,0,50676,0.0,328143.81009772886,137558.73747107352,13792.32,74008.0,275117.47494214703,0.0,5315.106655251817,0.0,40525.399999999994,0,0,659967.9432262416,4677257.766859461,4884180.244152768,0,10496523.429180617
2034,68/67,Stage 4: Social Security,0,104256,0.0,332276.2100977289,140268.64459925366,13792.32,75877.0,280537.2891985073,0.0,5419.814256360289,0.0,0.0,0,0,706911.9792874719,4701429.396208217,5624923.65568499,0,11313802.320379186
2035,69/68,Stage 4: Social Security,0,111432,0.0,317026.61009772884,143031.93689785898,10609.92,74008.0,286063.87379571795,0.0,5526.584597210633,0.0,0.0,0,0,757496.2262654821,4744004.323904876,6408456.97213979,0,12196021.396105867
2036,70/69,Stage 4: Social Security,0,120432,0.0,318526.61009772884,145849.6660547468,10609.92,75877.0,291699.3321094936,0.0,5635.458313775656,0.0,0.0,0,0,812009.629387843,4788365.245817266,7256292.953910973,0,13148367.161225576
2037,71/70,Stage 4: Social Security,0,126420,0.0,304286.81009772886,148722.90447602532,10609.92,74008.0,297445.80895205063,0.0,5746.476842557022,0.0,0.0,0,0,870764.2047489088,4851654.025482648,8156576.830223851,0,14176440.869407458
2038,72/71,Stage 4: Social Security,0,128940,0.0,302144.81009772886,151652.745694203,10609.92,74008.0,303305.491388406,0.0,5859.68243635539,0.0,0.0,0,0,934096.8840975577,4922319.26752126,9126570.05664176,0,15286291.699648984
2039,73/72,Stage 5: RMD,0,131508,185747.89688759472,40835.15155620265,154640.3047843788,10609.92,58037.0,309280.6095687576,185747.89688759472,5975.118180351565,0.0,0.0,0,0,1202979.2358291852,5071395.11660366,9900797.624853801,0,16484452.586855404
2040,74/73,Stage 5: RMD,0,134148,198878.2398668102,28572.9800665949,157686.71878863106,10609.92,59110.0,315373.4375772621,198878.2398668102,6092.828008504526,0.0,0.0,0,0,1507425.81950249,5231459.408403876,10723720.25331403,0,17777978.918797657
2041,75/74,Stage 5: RMD,0,136860,212660.95156113317,20529.024219433428,160793.14714876708,7427.52,61041.0,321586.29429753416,212660.95156113317,6212.856720272044,0.0,0.0,0,0,1850983.8274908194,5398130.987233174,11603789.21973614,0,19174490.328757666
2042,76/75,Stage 5: RMD,0,139584,227769.23996764448,16392.180016177765,163960.77214759777,7427.52,63903.0,327921.54429519555,227769.23996764448,6335.249997661391,0.0,0.0,0,0,2238211.2428576667,5566287.1326293005,12549795.911732506,0,20682215.831514668
2043,77/76,Stage 5: RMD,0,142344,243069.3071017162,0.0,167190.79935890547,7427.52,64531.0,334381.59871781094,243069.3071017162,6460.054422615387,0.0,0.0,0,0,2672806.135179709,5749075.251569792,13553779.584671108,0,22310042.570138417
2044,78/77,Stage 5: RMD,0,145200,261321.60234408145,0.0,170484.4581062759,7427.52,69167.0,340968.9162125518,261321.60234408145,6587.317494740884,0.0,0.0,0,0,3161743.653631374,5926773.941163767,14638081.951444797,0,24067568.46245249
2045,79/78,Stage 5: RMD,0,148104,280889.7602447283,0.0,173843.00193096953,7427.52,74783.0,347686.00386193907,280889.7602447283,6717.087649387249,0.0,0.0,0,0,3710789.6323248525,6097554.915392563,15809128.507560382,0,25965159.059139736
2046,80/79,Stage 5: RMD,0,151068,301859.1542273546,0.0,177267.70906900964,7427.52,80093.0,354535.4181380193,301859.1542273546,6849.414276080206,0.0,0.0,0,0,4326263.322058218,6259351.422058425,17073858.78816521,0,28014008.950419873
