Year,Age,Stage,Wages,SS Benefits,Traditional Withdrawal,Roth Conversion,Expenses,IRMAA Penalty,Federal Tax,Cash Balance,RMD,Taxable Withdrawal,Roth Withdrawal,LTCG Harvested,DAF Contribution,ACA Premium,Taxable Balance,Traditional Balance,Roth Balance,DAF Balance,Total Portfolio
2026,60/59,Stage 2: Early Retirement,0,0,0.0,336850.0,120000.0,0.0,74320.0,240000.0,0.0,40000.0,0.0,66700.0,0,0,405474.91176300053,4524144.073745728,951548.2216053009,0,6121167.207114029
2027,61/60,Stage 2: Early Retirement,0,0,0.0,345200.0,121176.0,0.0,75877.0,242352.0,0.0,2352.0,0.0,67500.0,0,0,427310.2864687806,4429680.7181704715,1374553.114901619,0,6473896.119540871
2028,62/61,Stage 2: Early Retirement,0,0,0.0,333550.0,122363.52480000001,0.0,74008.0,244727.04960000003,0.0,2375.0496000000276,0.0,70000.0,0,0,450431.35108090745,4341898.5612607,1810589.3017957162,0,6847646.263737324
2029,63/62,Stage 2: Early Retirement,0,0,0.0,340100.0,123562.68734304002,0.0,75877.0,247125.37468608003,0.0,2398.3250860800035,0.0,72600.0,0,0,474915.0075545171,4241906.474936343,2279730.6599034597,0,7243677.5170804
2030,64/63,Stage 2: Early Retirement,0,0,0.0,337450.0,124773.6016790018,0.0,75877.0,249547.2033580036,0.0,2421.8286719235766,0.0,75250.0,0,0,500842.7696155492,4138723.863432524,2774211.4994976674,0,7663325.335903743
2031,65/64,Stage 3: Medicare,0,0,0.0,325600.0,125996.38297545603,6896.16,74008.0,251992.76595091206,0.0,2445.562592908449,0.0,77950.0,0,0,528301.0394439992,4041911.2952384753,3285800.1894675274,0,8108005.2901009135
2032,66/65,Stage 3: Medicare,0,0,0.0,331950.0,127231.1475286155,13792.32,75877.0,254462.295057231,0.0,2469.5291063189507,0.0,80750.0,0,0,557381.4009579411,3932558.972952784,3834815.200835579,0,8579217.869803535
2033,67/66,Stage 3: Medicare,0,0,0.0,319950.0,128478.01277439593,13792.32,74008.0,256956.02554879186,0.0,2493.7304915608547,0.0,83600.0,0,0,588180.9306943631,3829365.511329951,4404051.112885714,0,9078553.58045882
2034,68/67,Stage 3: Medicare,0,0,0.0,326150.0,129737.09729958502,13792.32,75877.0,259474.19459917003,0.0,2518.169050378172,0.0,86550.0,0,0,620802.527342624,3713408.4420097484,5014013.179658856,0,9607698.343610398
2035,69/68,Stage 3: Medicare,0,0,0.0,314000.0,131008.52085312095,10609.92,74008.0,262017.0417062419,0.0,2542.847107071866,0.0,89550.0,0,0,655355.2610496853,3603372.9485303336,5647693.970438388,0,10168439.221724648
2036,70/69,Stage 4: Social Security,0,62580,0.0,320050.0,132292.40435748154,10609.92,75877.0,264584.8087149631,0.0,2567.767008721188,0.0,39457.0,0,0,691954.7436834221,3480322.325442154,6325808.608664691,0,10762670.48650523
2037,71/70,Stage 4: Social Security,0,126420,0.0,296093.0,133588.86992018486,10609.92,74008.0,267177.73984036973,0.0,2592.9311254066415,0.0,0.0,0,0,730723.5213114964,3375283.0849686833,7019215.705184573,0,11392400.051305123
2038,72/71,Stage 4: Social Security,0,128940,0.0,293951.0,134898.0408454027,10609.92,74008.0,269796.0816908054,0.0,2618.3418504356523,0.0,0.0,0,0,771791.4902287244,3266212.0100668045,7751956.707495648,0,12059756.289481983
2039,73/72,Stage 5: RMD,0,131508,123253.28339874734,72082.45830062633,136220.04164568766,10609.92,50537.0,272440.0832913753,123253.28339874734,2644.001600569929,0.0,0.0,0,0,945944.818348516,3255128.8444694765,8293481.515744051,0,12766995.26185342
2040,74/73,Stage 5: RMD,0,134148,127652.11154782261,64186.04422608869,137554.9980538154,10609.92,50563.0,275109.9961076308,127652.11154782261,2669.91281625547,0.0,0.0,0,0,1135182.6381048884,3247088.130017299,8859127.613568349,0,13516508.377798166
2041,75/74,Stage 5: RMD,0,136860,131995.4524397276,52586.773780136195,138903.03703474277,4956.0,49375.0,277806.07406948553,131995.4524397276,2696.077961854753,0.0,0.0,0,0,1340350.9333377269,3246256.2580252816,9446417.250589393,0,14310830.516021887
2042,76/75,Stage 5: RMD,0,139584,136972.83789136208,53940.38105431896,140264.28679768325,4956.0,51123.0,280528.5735953665,136972.83789136208,2722.499525880965,0.0,0.0,0,0,1563077.3480054007,3238663.6214243765,10070379.089542335,0,15152648.632567478
2043,77/76,Stage 5: RMD,0,142344,141426.35901416492,53815.620492917544,141638.87680830056,4956.0,53052.0,283277.7536166011,141426.35901416492,2749.1800212346134,0.0,0.0,0,0,1803859.798618231,3226026.9404323315,10731646.392637368,0,16044810.885304533
2044,78/77,Stage 5: RMD,0,145200,146637.58820146963,54571.20589926519,143026.9378010219,4956.0,54740.0,286053.8756020438,146637.58820146963,2776.1219854427036,0.0,0.0,0,0,2064584.5407243134,3206307.2351114927,11433390.654448831,0,16990336.305886682
2045,79/78,Stage 5: RMD,0,148104,151957.68886784324,46101.955566078366,144428.60179147194,4956.0,54904.0,288857.2035829439,151957.68886784324,2803.327980900067,0.0,0.0,0,0,2346563.2357079317,3188742.4461182253,12168262.166615805,0,17992425.052024905
