month,year,type,account,amount
12,2025,Cash,PNC,55000.00
12,2025,Brokerage,Schwab,220000.00
12,2025,Traditional,Fidelity,660000.00
12,2025,Roth,Schwab,165000.00
1,2026,Cash,PNC,54200.00
1,2026,Brokerage,Schwab,223400.00
1,2026,Traditional,Fidelity,668800.00
1,2026,Roth,Schwab,167100.00
2,2026,Cash,PNC,53800.00
2,2026,Brokerage,Schwab,219600.00
2,2026,Traditional,Fidelity,663200.00
2,2026,Roth,Schwab,165800.00
3,2026,Cash,PNC,54500.00
3,2026,Brokerage,Schwab,226800.00
3,2026,Traditional,Fidelity,675400.00
3,2026,Roth,Schwab,169300.00
4,2026,Cash,PNC,55100.00
4,2026,Brokerage,Schwab,229200.00
4,2026,Traditional,Fidelity,681600.00
4,2026,Roth,Schwab,171100.00
5,2026,Cash,PNC,54600.00
5,2026,Brokerage,Schwab,225400.00
5,2026,Traditional,Fidelity,673800.00
5,2026,Roth,Schwab,168700.00
6,2026,Cash,PNC,55400.00
6,2026,Brokerage,Schwab,231000.00
6,2026,Traditional,Fidelity,686400.00
6,2026,Roth,Schwab,172200.00
7,2026,Cash,PNC,56000.00
7,2026,Brokerage,Schwab,234200.00
7,2026,Traditional,Fidelity,694800.00
7,2026,Roth,Schwab,174500.00
8,2026,Cash,PNC,55600.00
8,2026,Brokerage,Schwab,231800.00
8,2026,Traditional,Fidelity,688400.00
8,2026,Roth,Schwab,172900.00
9,2026,Cash,PNC,56300.00
9,2026,Brokerage,Schwab,236600.00
9,2026,Traditional,Fidelity,700200.00
9,2026,Roth,Schwab,175800.00
10,2026,Cash,PNC,57100.00
10,2026,Brokerage,Schwab,240400.00
10,2026,Traditional,Fidelity,710800.00
10,2026,Roth,Schwab,178600.00
11,2026,Cash,PNC,57800.00
11,2026,Brokerage,Schwab,243200.00
11,2026,Traditional,Fidelity,719600.00
11,2026,Roth,Schwab,180900.00
12,2026,Cash,PNC,60500.00
12,2026,Brokerage,Schwab,242000.00
12,2026,Traditional,Fidelity,726000.00
12,2026,Roth,Schwab,181500.00
