date,cash,taxable,tax_deferred,tax_free,total,expenses,daf
1/31/2025,50000.00,200000.00,600000.00,150000.00,1000000.00,150000,0
2/29/2025,50416.67,201666.67,605000.00,151250.00,1008333.34,150000,0
3/31/2025,50833.33,203333.33,610000.00,152500.00,1016666.66,150000,0
4/30/2025,51250.00,205000.00,615000.00,153750.00,1025000.00,150000,0
5/31/2025,51666.67,206666.67,620000.00,155000.00,1033333.34,150000,0
6/30/2025,52083.33,208333.33,625000.00,156250.00,1041666.66,150000,0
7/31/2025,52500.00,210000.00,630000.00,157500.00,1050000.00,150000,0
8/31/2025,52916.67,211666.67,635000.00,158750.00,1058333.34,150000,0
9/30/2025,53333.33,213333.33,640000.00,160000.00,1066666.66,150000,0
10/31/2025,53750.00,215000.00,645000.00,161250.00,1075000.00,150000,0
11/30/2025,54166.67,216666.67,650000.00,162500.00,1083333.34,150000,0
12/31/2025,55000.00,220000.00,660000.00,165000.00,1100000.00,150000,0
