year,filing_status,lower,upper,rate
2023,married_filing_jointly,0,0,0.0
2023,married_filing_jointly,0,22000,0.1
2023,married_filing_jointly,22000,89450,0.12
2023,married_filing_jointly,89450,190750,0.22
2023,married_filing_jointly,190750,364200,0.24
2023,married_filing_jointly,364200,462500,0.32
2023,married_filing_jointly,462500,693750,0.35
2023,married_filing_jointly,693750,4000000,0.37
2023,single,0,0,0.0
2023,single,0,11000,0.1
2023,single,11000,44725,0.12
2023,single,44725,95375,0.22
2023,single,95375,182100,0.24
2023,single,182100,231250,0.32
2023,single,231250,578125,0.35
2023,single,578125,4000000,0.37
2024,married_filing_jointly,0,0,0.0
2024,married_filing_jointly,0,23200,0.1
2024,married_filing_jointly,23200,94300,0.12
2024,married_filing_jointly,94300,201050,0.22
2024,married_filing_jointly,201050,383900,0.24
2024,married_filing_jointly,383900,487450,0.32
2024,married_filing_jointly,487450,731200,0.35
2024,married_filing_jointly,731200,4000000,0.37
2024,single,0,0,0.0
2024,single,0,11600,0.1
2024,single,11600,47150,0.12
2024,single,47150,100525,0.22
2024,single,100525,191950,0.24
2024,single,191950,243725,0.32
2024,single,243725,609350,0.35
2024,single,609350,4000000,0.37
2025,married_filing_jointly,0,0,0.0
2025,married_filing_jointly,0,23850,0.1
2025,married_filing_jointly,23850,96950,0.12
2025,married_filing_jointly,96950,206700,0.22
2025,married_filing_jointly,206700,394600,0.24
2025,married_filing_jointly,394600,501050,0.32
2025,married_filing_jointly,501050,751600,0.35
2025,married_filing_jointly,751600,4000000,0.37
2025,single,0,0,0.0
2025,single,0,11925,0.1
2025,single,11925,48475,0.12
2025,single,48475,103350,0.22
2025,single,103350,197300,0.24
2025,single,197300,250525,0.32
2025,single,250525,626350,0.35
2025,single,626350,4000000,0.37
2026,married_filing_jointly,0,0,0.0
2026,married_filing_jointly,0,24800,0.1
2026,married_filing_jointly,24800,100800,0.12
2026,married_filing_jointly,100800,211400,0.22
2026,married_filing_jointly,211400,403550,0.24
2026,married_filing_jointly,403550,512450,0.32
2026,married_filing_jointly,512450,768700,0.35
2026,married_filing_jointly,768700,4000000,0.37
2026,single,0,0,0.0
2026,single,0,12400,0.1
2026,single,12400,50400,0.12
2026,single,50400,105700,0.22
2026,single,105700,201775,0.24
2026,single,201775,256225,0.32
2026,single,256225,640350,0.35
2026,single,640350,4000000,0.37
2027,married_filing_jointly,0,0,0.0
2027,married_filing_jointly,0,25350,0.1
2027,married_filing_jointly,25350,103000,0.12
2027,married_filing_jointly,103000,216200,0.22
2027,married_filing_jointly,216200,412700,0.24
2027,married_filing_jointly,412700,524000,0.32
2027,married_filing_jointly,524000,786100,0.35
2027,married_filing_jointly,786100,4000000,0.37
2027,single,0,0,0.0
2027,single,0,12675,0.1
2027,single,12675,51500,0.12
2027,single,51500,108100,0.22
2027,single,108100,206350,0.24
2027,single,206350,262000,0.32
2027,single,262000,393050,0.35
2027,single,393050,4000000,0.37
2028,married_filing_jointly,0,0,0.0
2028,married_filing_jointly,0,25350,0.1
2028,married_filing_jointly,24800,103000,0.12
2028,married_filing_jointly,100800,216200,0.22
2028,married_filing_jointly,211400,412700,0.24
2028,married_filing_jointly,403550,524000,0.32
2028,married_filing_jointly,512450,786100,0.35
2028,married_filing_jointly,768700,4000000,0.37
2028,single,0,0,0.0
2028,single,0,12400,0.1
2028,single,12400,50400,0.12
2028,single,50400,105700,0.22
2028,single,105700,201775,0.24
2028,single,201775,256225,0.32
2028,single,256225,640350,0.35
2028,single,640350,4000000,0.37
2029,married_filing_jointly,0,0,0.0
2029,married_filing_jointly,0,25350,0.1
2029,married_filing_jointly,25350,103000,0.12
2029,married_filing_jointly,103000,216200,0.22
2029,married_filing_jointly,216200,412700,0.24
2029,married_filing_jointly,412700,524000,0.32
2029,married_filing_jointly,524000,786100,0.35
2029,married_filing_jointly,786100,4000000,0.37
2029,single,0,0,0.0
2029,single,0,12675,0.1
2029,single,12675,51500,0.12
2029,single,51500,108100,0.22
2029,single,108100,206350,0.24
2029,single,206350,262000,0.32
2029,single,262000,393050,0.35
2029,single,393050,4000000,0.37
2030,married_filing_jointly,0,0,0.0
2030,married_filing_jointly,0,25350,0.1
2030,married_filing_jointly,25350,103000,0.12
2030,married_filing_jointly,103000,216200,0.22
2030,married_filing_jointly,216200,412700,0.24
2030,married_filing_jointly,412700,524000,0.32
2030,married_filing_jointly,524000,786100,0.35
2030,married_filing_jointly,786100,4000000,0.37
2030,single,0,0,0.0
2030,single,0,12675,0.1
2030,single,12675,51500,0.12
2030,single,51500,108100,0.22
2030,single,108100,206350,0.24
2030,single,206350,262000,0.32
2030,single,262000,393050,0.35
2030,single,393050,4000000,0.37
2031,married_filing_jointly,0,0,0.0
2031,married_filing_jointly,0,25350,0.1
2031,married_filing_jointly,24800,103000,0.12
2031,married_filing_jointly,100800,216200,0.22
2031,married_filing_jointly,211400,412700,0.24
2031,married_filing_jointly,403550,524000,0.32
2031,married_filing_jointly,512450,786100,0.35
2031,married_filing_jointly,768700,4000000,0.37
2031,single,0,0,0.0
2031,single,0,12400,0.1
2031,single,12400,50400,0.12
2031,single,50400,105700,0.22
2031,single,105700,201775,0.24
2031,single,201775,256225,0.32
2031,single,256225,640350,0.35
2031,single,640350,4000000,0.37
2032,married_filing_jointly,0,0,0.0
2032,married_filing_jointly,0,25350,0.1
2032,married_filing_jointly,25350,103000,0.12
2032,married_filing_jointly,103000,216200,0.22
2032,married_filing_jointly,216200,412700,0.24
2032,married_filing_jointly,412700,524000,0.32
2032,married_filing_jointly,524000,786100,0.35
2032,married_filing_jointly,786100,4000000,0.37
2032,single,0,0,0.0
2032,single,0,12675,0.1
2032,single,12675,51500,0.12
2032,single,51500,108100,0.22
2032,single,108100,206350,0.24
2032,single,206350,262000,0.32
2032,single,262000,393050,0.35
2032,single,393050,4000000,0.37
2033,married_filing_jointly,0,0,0.0
2033,married_filing_jointly,0,25350,0.1
2033,married_filing_jointly,24800,103000,0.12
2033,married_filing_jointly,100800,216200,0.22
2033,married_filing_jointly,211400,412700,0.24
2033,married_filing_jointly,403550,524000,0.32
2033,married_filing_jointly,512450,786100,0.35
2033,married_filing_jointly,768700,4000000,0.37
2033,single,0,0,0.0
2033,single,0,12400,0.1
2033,single,12400,50400,0.12
2033,single,50400,105700,0.22
2033,single,105700,201775,0.24
2033,single,201775,256225,0.32
2033,single,256225,640350,0.35
2033,single,640350,4000000,0.37
2034,married_filing_jointly,0,0,0.0
2034,married_filing_jointly,0,25350,0.1
2034,married_filing_jointly,25350,103000,0.12
2034,married_filing_jointly,103000,216200,0.22
2034,married_filing_jointly,216200,412700,0.24
2034,married_filing_jointly,412700,524000,0.32
2034,married_filing_jointly,524000,786100,0.35
2034,married_filing_jointly,786100,4000000,0.37
2034,single,0,0,0.0
2034,single,0,12675,0.1
2034,single,12675,51500,0.12
2034,single,51500,108100,0.22
2034,single,108100,206350,0.24
2034,single,206350,262000,0.32
2034,single,262000,393050,0.35
2034,single,393050,4000000,0.37
2035,married_filing_jointly,0,0,0.0
2035,married_filing_jointly,0,25350,0.1
2035,married_filing_jointly,24800,103000,0.12
2035,married_filing_jointly,100800,216200,0.22
2035,married_filing_jointly,211400,412700,0.24
2035,married_filing_jointly,403550,524000,0.32
2035,married_filing_jointly,512450,786100,0.35
2035,married_filing_jointly,768700,4000000,0.37
2035,single,0,0,0.0
2035,single,0,12400,0.1
2035,single,12400,50400,0.12
2035,single,50400,105700,0.22
2035,single,105700,201775,0.24
2035,single,201775,256225,0.32
2035,single,256225,640350,0.35
2035,single,640350,4000000,0.37
2036,married_filing_jointly,0,0,0.0
2036,married_filing_jointly,0,25350,0.1
2036,married_filing_jointly,25350,103000,0.12
2036,married_filing_jointly,103000,216200,0.22
2036,married_filing_jointly,216200,412700,0.24
2036,married_filing_jointly,412700,524000,0.32
2036,married_filing_jointly,524000,786100,0.35
2036,married_filing_jointly,786100,4000000,0.37
2036,single,0,0,0.0
2036,single,0,12675,0.1
2036,single,12675,51500,0.12
2036,single,51500,108100,0.22
2036,single,108100,206350,0.24
2036,single,206350,262000,0.32
2036,single,262000,393050,0.35
2036,single,393050,4000000,0.37
2037,married_filing_jointly,0,0,0.0
2037,married_filing_jointly,0,25350,0.1
2037,married_filing_jointly,24800,103000,0.12
2037,married_filing_jointly,100800,216200,0.22
2037,married_filing_jointly,211400,412700,0.24
2037,married_filing_jointly,403550,524000,0.32
2037,married_filing_jointly,512450,786100,0.35
2037,married_filing_jointly,768700,4000000,0.37
2037,single,0,0,0.0
2037,single,0,12400,0.1
2037,single,12400,50400,0.12
2037,single,50400,105700,0.22
2037,single,105700,201775,0.24
2037,single,201775,256225,0.32
2037,single,256225,640350,0.35
2037,single,640350,4000000,0.37
2038,married_filing_jointly,0,0,0.0
2038,married_filing_jointly,0,25350,0.1
2038,married_filing_jointly,24800,103000,0.12
2038,married_filing_jointly,100800,216200,0.22
2038,married_filing_jointly,211400,412700,0.24
2038,married_filing_jointly,403550,524000,0.32
2038,married_filing_jointly,512450,786100,0.35
2038,married_filing_jointly,768700,4000000,0.37
2038,single,0,0,0.0
2038,single,0,12400,0.1
2038,single,12400,50400,0.12
2038,single,50400,105700,0.22
2038,single,105700,201775,0.24
2038,single,201775,256225,0.32
2038,single,256225,640350,0.35
2038,single,640350,4000000,0.37
2039,married_filing_jointly,0,0,0.0
2039,married_filing_jointly,0,25350,0.1
2039,married_filing_jointly,25350,103000,0.12
