year,lower,upper,part_b_monthly,part_a_monthly,part_d_base_monthly,part_d_irmaa_monthly
2023,0,212000,221.78,0.00,32.74,0.00
2023,212000,266000,309.48,0.00,32.74,12.20
2023,266000,334000,442.08,0.00,32.74,31.50
2023,334000,400000,574.68,0.00,32.74,50.70
2023,400000,750000,707.28,0.00,32.74,70.00
2023,750000,4000000,751.48,0.00,32.74,76.40
2024,0,212000,221.78,0.00,34.70,0.00
2024,212000,266000,309.48,0.00,34.70,12.90
2024,266000,334000,442.08,0.00,34.70,33.30
2024,334000,400000,574.68,0.00,34.70,53.80
2024,400000,750000,707.28,0.00,34.70,74.20
2024,750000,4000000,751.48,0.00,34.70,81.00
2025,0,212000,221.78,0.00,36.78,0.00
2025,212000,266000,309.48,0.00,36.78,13.70
2025,266000,334000,442.08,0.00,36.78,35.30
2025,334000,400000,574.68,0.00,36.78,57.00
2025,400000,750000,707.28,0.00,36.78,78.60
2025,750000,4000000,751.48,0.00,36.78,85.80
2026,0,218000,206.50,0.00,37.70,0.00
2026,218000,274000,309.48,0.00,37.70,14.00
2026,274000,334000,442.08,0.00,37.70,36.20
2026,334000,400000,574.68,0.00,37.70,58.40
2026,400000,750000,707.28,0.00,37.70,80.60
2026,750000,4000000,751.48,0.00,37.70,87.90
2027,0,218000,206.50,0.00,38.65,0.00
2027,218000,274000,309.48,0.00,38.65,14.35
2027,274000,334000,442.08,0.00,38.65,37.10
2027,334000,400000,574.68,0.00,38.65,59.85
2027,400000,750000,707.28,0.00,38.65,82.60
2027,750000,4000000,751.48,0.00,38.65,90.10
2028,0,223000,206.50,0.00,39.62,0.00
2028,223000,281000,309.48,0.00,39.62,14.70
2028,281000,342000,442.08,0.00,39.62,38.00
2028,342000,410000,574.68,0.00,39.62,61.35
2028,410000,769000,707.28,0.00,39.62,84.65
2028,769000,4000000,751.48,0.00,39.62,92.35
2029,0,229000,206.50,0.00,40.61,0.00
2029,229000,288000,309.48,0.00,40.61,15.07
2029,288000,351000,442.08,0.00,40.61,38.95
2029,351000,420000,574.68,0.00,40.61,62.88
2029,420000,788000,707.28,0.00,40.61,86.76
2029,788000,4000000,751.48,0.00,40.61,94.66
2030,0,235000,206.50,0.00,41.63,0.00
2030,235000,295000,309.48,0.00,41.63,15.45
2030,295000,360000,442.08,0.00,41.63,39.92
2030,360000,430000,574.68,0.00,41.63,64.45
2030,430000,808000,707.28,0.00,41.63,88.93
2030,808000,4000000,751.48,0.00,41.63,97.03
2031,0,241000,206.50,0.00,42.67,0.00
2031,241000,302000,309.48,0.00,42.67,15.84
2031,302000,369000,442.08,0.00,42.67,40.92
2031,369000,441000,574.68,0.00,42.67,66.06
2031,441000,828000,707.28,0.00,42.67,91.15
2031,828000,4000000,751.48,0.00,42.67,99.46
2032,0,247000,206.50,0.00,43.74,0.00
2032,247000,310000,309.48,0.00,43.74,16.24
2032,310000,378000,442.08,0.00,43.74,41.94
2032,378000,452000,574.68,0.00,43.74,67.71
2032,452000,849000,707.28,0.00,43.74,93.43
2032,849000,4000000,751.48,0.00,43.74,101.95
2033,0,253000,206.50,0.00,44.83,0.00
2033,253000,318000,309.48,0.00,44.83,16.64
2033,318000,387000,442.08,0.00,44.83,42.99
2033,387000,463000,574.68,0.00,44.83,69.40
2033,463000,870000,707.28,0.00,44.83,95.77
2033,870000,4000000,751.48,0.00,44.83,104.50
2034,0,259000,206.50,0.00,45.95,0.00
2034,259000,326000,309.48,0.00,45.95,17.06
2034,326000,397000,442.08,0.00,45.95,44.07
2034,397000,475000,574.68,0.00,45.95,71.14
2034,475000,892000,707.28,0.00,45.95,98.16
2034,892000,4000000,751.48,0.00,45.95,107.11
2035,0,265000,206.50,0.00,47.10,0.00
2035,265000,334000,309.48,0.00,47.10,17.49
2035,334000,407000,442.08,0.00,47.10,45.17
2035,407000,487000,574.68,0.00,47.10,72.92
2035,487000,914000,707.28,0.00,47.10,100.61
2035,914000,4000000,751.48,0.00,47.10,109.79
2036,0,272000,206.50,0.00,48.28,0.00
2036,272000,342000,309.48,0.00,48.28,17.93
2036,342000,417000,442.08,0.00,48.28,46.30
2036,417000,499000,574.68,0.00,48.28,74.74
2036,499000,937000,707.28,0.00,48.28,103.13
2036,937000,4000000,751.48,0.00,48.28,112.53
2037,0,279000,206.50,0.00,49.49,0.00
2037,279000,351000,309.48,0.00,49.49,18.38
2037,351000,427000,442.08,0.00,49.49,47.46
2037,427000,511000,574.68,0.00,49.49,76.61
2037,511000,960000,707.28,0.00,49.49,105.71
2037,960000,4000000,751.48,0.00,49.49,115.34
2038,0,286000,206.50,0.00,50.73,0.00
2038,286000,360000,309.48,0.00,50.73,18.84
2038,360000,438000,442.08,0.00,50.73,48.65
2038,438000,524000,574.68,0.00,50.73,78.53
2038,524000,984000,707.28,0.00,50.73,108.35
2038,984000,4000000,751.48,0.00,50.73,118.22
2039,0,293000,206.50,0.00,51.99,0.00
2039,293000,369000,309.48,0.00,51.99,19.31
2039,369000,449000,442.08,0.00,51.99,49.87
2039,449000,537000,574.68,0.00,51.99,80.49
2039,537000,1009000,707.28,0.00,51.99,111.06
2039,1009000,4000000,751.48,0.00,51.99,121.18
2040,0,300000,206.50,0.00,53.29,0.00
2040,300000,378000,309.48,0.00,53.29,19.79
2040,378000,460000,442.08,0.00,53.29,51.12
2040,460000,550000,574.68,0.00,53.29,82.50
2040,550000,1034000,707.28,0.00,53.29,113.84
2040,1034000,4000000,751.48,0.00,53.29,124.21
2041,0,308000,206.50,0.00,54.62,0.00
2041,308000,387000,309.48,0.00,54.62,20.29
2041,387000,471000,442.08,0.00,54.62,52.40
2041,471000,564000,574.68,0.00,54.62,84.56
2041,564000,1060000,707.28,0.00,54.62,116.69
2041,1060000,4000000,751.48,0.00,54.62,127.31
2042,0,316000,206.50,0.00,55.99,0.00
2042,316000,397000,309.48,0.00,55.99,20.79
2042,397000,483000,442.08,0.00,55.99,53.71
