year,medigap_annual,oop_healthy,oop_average,oop_chronic,ltc_annual_per_person,ltc_escalation_rate,ltc_base_year,fpl_base,fpl_per_person
2023,2200,3800,6200,11500,3300,0.05,2024,18705,6699
2024,2400,4000,6500,12000,3500,0.05,2024,19267,6900
2025,2500,4100,6700,12500,3675,0.05,2024,19845,7107
2026,2600,4200,6900,13000,3859,0.05,2024,20440,7320
2027,2700,4300,7100,13500,4052,0.05,2024,21053,7540
2028,2800,4400,7300,14000,4254,0.05,2024,21685,7766
2029,2900,4500,7500,14500,4467,0.05,2024,22335,7999
2030,3000,4600,7700,15000,4690,0.05,2024,23005,8239
2031,3100,4800,8000,15600,4925,0.05,2024,23696,8486
2032,3200,4900,8200,16100,5171,0.05,2024,24406,8740
2033,3300,5100,8500,16700,5430,0.05,2024,25139,9003
2034,3400,5200,8700,17300,5701,0.05,2024,25893,9273
2035,3500,5400,9000,17900,5986,0.05,2024,26670,9551
2036,3600,5500,9200,18500,6285,0.05,2024,27470,9837
2037,3700,5700,9500,19100,6600,0.05,2024,28294,10133
2038,3800,5800,9700,19800,6930,0.05,2024,29143,10437
2039,3900,6000,10000,20500,7276,0.05,2024,30017,10750
2040,4000,6100,10300,21200,7640,0.05,2024,30917,11072
2041,4100,6300,10600,21900,8022,0.05,2024,31845,11404
2042,4200,6500,10900,22600,8423,0.05,2024,32800,11746
2043,4300,6600,11200,23400,8844,0.05,2024,33784,12099
2044,4400,6800,11500,24200,9286,0.05,2024,34798,12462
2045,4500,7000,11800,25000,9751,0.05,2024,35842,12836
2046,4600,7200,12100,25900,10238,0.05,2024,36917,13221
2047,4700,7400,12500,26800,10750,0.05,2024,38024,13617
2048,4800,7600,12800,27700,11288,0.05,2024,39165,14026
2049,4900,7800,13200,28600,11852,0.05,2024,40340,14447
2050,5100,8000,13500,29600,12445,0.05,2024,41550,14880
2051,5200,8200,13900,30600,13067,0.05,2024,42797,15326
