year,mfj_phase_out_start,mfj_phase_out_end,single_phase_out_start,single_phase_out_end
2023,361100,452600,180600,226300
2024,371900,466200,186000,233100
2025,383100,480200,191600,240100
2026,394600,494600,197300,247300
2027,406400,509400,203200,254700
2028,418600,524700,209300,262400
2029,431200,540500,215600,270200
2030,444100,556700,222100,278300
2031,457400,573400,228700,286700
2032,471200,590600,235600,295300
2033,485300,608300,242700,304100
2034,499900,626500,249900,313300
2035,514900,645300,257400,322700
2036,530300,664700,265200,332400
2037,546200,684600,273100,342300
2038,562600,705200,281300,352600
2039,579500,726300,289700,363200
2040,596900,748100,298400,374100
2041,614800,770600,307400,385300
2042,633200,793700,316600,396800
2043,652200,817500,326100,408700
2044,671800,842000,335900,421000
2045,691900,867300,346000,433600
2046,712700,893300,356300,446700
2047,734100,920100,367000,460100
2048,756100,947700,378000,473900
2049,778800,976100,389400,488100
2050,802100,1005400,401100,502700
2051,826200,1035600,413100,517800
