year,filing_status,deduction
2023,married_filing_jointly,27700
2023,single,13850
2024,married_filing_jointly,29200
2024,single,14600
2025,married_filing_jointly,31500
2025,single,15800
2026,married_filing_jointly,34200
2026,single,16100
2027,married_filing_jointly,35500
2027,single,16750
2028,married_filing_jointly,35500
2028,single,16750
2029,married_filing_jointly,33500
2029,single,16750
2030,married_filing_jointly,33500
2030,single,16750
2031,married_filing_jointly,33500
2031,single,16750
2032,married_filing_jointly,33500
2032,single,16750
2033,married_filing_jointly,33500
2033,single,16750
2034,married_filing_jointly,33500
2034,single,16750
2035,married_filing_jointly,33500
2035,single,16750
2036,married_filing_jointly,33500
2036,single,16750
2037,married_filing_jointly,33500
2037,single,16750
2038,married_filing_jointly,33500
2038,single,16750
2039,married_filing_jointly,33500
2039,single,16750
2040,married_filing_jointly,33500
2040,single,16750
2041,married_filing_jointly,33500
2041,single,16750
2042,married_filing_jointly,33500
2042,single,16750
2043,married_filing_jointly,33500
2043,single,16750
2044,married_filing_jointly,33500
2044,single,16750
2045,married_filing_jointly,33500
2045,single,16750
2046,married_filing_jointly,33500
2046,single,16750
2047,married_filing_jointly,33500
2047,single,16750
2048,married_filing_jointly,33500
2048,single,16750
2049,married_filing_jointly,33500
2049,single,16750
2050,married_filing_jointly,33500
2050,single,16750
2051,married_filing_jointly,33500
2051,single,16750
